Name,Team,Nationality,Position,Age,Matches,Goals
Neco Williams,Liverpool,WAL,DF,19,6,0
Takumi Minamino,Liverpool,JPN,"MF,FW",25,9,1
Alex Oxlade-Chamberlain,Liverpool,ENG,"FW,MF",26,13,1
Divock Origi,Liverpool,BEL,FW,25,9,0
Caoimhín Kelleher,Liverpool,IRL,GK,21,2,0
Kostas Tsimikas,Liverpool,GRE,DF,24,2,0
Kasper Schmeichel,Leicester,DEN,GK,33,38,0
Youri Tielemans,Leicester,BEL,MF,23,38,6
Jamie Vardy,Leicester,ENG,FW,33,34,15
Jonny Evans,Leicester,NIR,DF,32,28,2
Timothy Castagne,Leicester,BEL,DF,24,27,2
Wesley Fofana,Leicester,FRA,DF,19,28,0
Wilfred Ndidi,Leicester,NGA,"MF,DF",23,26,1
James Maddison,Leicester,ENG,"MF,FW",23,31,8
James Justin,Leicester,ENG,DF,22,23,2
Harvey Barnes,Leicester,ENG,"FW,MF",22,25,9
Çağlar Söyüncü,Leicester,TUR,DF,24,23,1
Marc Albrighton,Leicester,ENG,"DF,FW",30,31,1
Kelechi Iheanacho,Leicester,NGA,FW,23,25,12
Nampalys Mendy,Leicester,SEN,MF,28,23,0
Ayoze Pérez,Leicester,ESP,"MF,FW",27,25,2
Luke Thomas,Leicester,ENG,DF,19,14,1
Ricardo Pereira,Leicester,POR,DF,26,15,0
Dennis Praet,Leicester,BEL,"MF,FW",26,15,1
Daniel Amartey,Leicester,GHA,DF,25,12,1
Christian Fuchs,Leicester,AUT,DF,34,9,0
Hamza Choudhury,Leicester,ENG,MF,22,10,0
Cengiz Ünder,Leicester,TUR,"MF,FW",23,9,0
Sidnei Tavares,Leicester,POR,MF,18,2,0
Islam Slimani,Leicester,ALG,FW,32,1,0
Demarai Gray,Leicester,ENG,FW,24,1,0
Wes Morgan,Leicester,JAM,DF,36,3,0
Khanya Leshabela,Leicester,RSA,MF,20,1,0
Tomáš Souček,West Ham,CZE,MF,25,38,10
Aaron Cresswell,West Ham,ENG,DF,30,36,0
Łukasz Fabiański,West Ham,POL,GK,35,35,0
Vladimír Coufal,West Ham,CZE,DF,27,34,0
Declan Rice,West Ham,ENG,MF,21,32,2
Pablo Fornals,West Ham,ESP,"FW,MF",24,33,5
Jarrod Bowen,West Ham,ENG,"FW,MF",23,38,8
Angelo Ogbonna,West Ham,ITA,DF,32,28,3
Michail Antonio,West Ham,ENG,FW,30,26,10
Craig Dawson,West Ham,ENG,DF,30,22,3
Jesse Lingard,West Ham,ENG,"MF,FW",27,16,9
Issa Diop,West Ham,FRA,DF,23,18,2
Saïd Benrahma,West Ham,ALG,"FW,MF",24,30,1
Fabián Balbuena,West Ham,PAR,DF,28,14,1
Arthur Masuaku,West Ham,COD,"DF,FW",26,12,0
Sébastien Haller,West Ham,CIV,FW,26,16,3
Mark Noble,West Ham,ENG,MF,33,21,0
Ryan Fredericks,West Ham,ENG,"DF,FW",27,14,1
Manuel Lanzini,West Ham,ARG,"MF,FW",27,17,1
Ben Johnson,West Ham,ENG,DF,20,14,1
Darren Randolph,West Ham,IRL,GK,33,3,0
Andriy Yarmolenko,West Ham,UKR,"FW,MF",30,15,0
Robert Snodgrass,West Ham,SCO,"FW,DF",32,3,0
Felipe Anderson,West Ham,BRA,"FW,MF",27,2,0
Pierre Højbjerg,Tottenham,DEN,MF,24,38,2
Hugo Lloris,Tottenham,FRA,GK,33,38,0
Son Heung-min,Tottenham,KOR,FW,28,37,17
Harry Kane,Tottenham,ENG,FW,27,35,23
Eric Dier,Tottenham,ENG,DF,26,28,0
Tanguy Ndombele,Tottenham,FRA,MF,23,33,3
Sergio Reguilón,Tottenham,ESP,DF,23,27,0
Toby Alderweireld,Tottenham,BEL,DF,31,25,1
Serge Aurier,Tottenham,CIV,DF,27,19,2
Davinson Sánchez,Tottenham,COL,DF,24,18,0
Moussa Sissoko,Tottenham,FRA,MF,30,25,0
