Name,Team,Nationality,Position,Age,Matches,Goals
Jake Livermore,West Brom,ENG,MF,30,18,0
Grady Diangana,West Brom,ENG,"MF,FW",22,20,1
Ainsley Maitland-Niles,West Brom,ENG,MF,22,15,0
Mbaye Diagne,West Brom,SEN,FW,28,16,3
Karlan Grant,West Brom,ENG,"FW,MF",22,21,1
Kieran Gibbs,West Brom,ENG,DF,30,10,0
Branislav Ivanović,West Brom,SRB,DF,36,13,0
Robert Snodgrass,West Brom,SCO,"MF,FW",32,8,0
Filip Krovinović,West Brom,CRO,MF,24,11,0
Lee Peltier,West Brom,ENG,DF,33,4,0
Hal Robson-Kanu,West Brom,WAL,FW,31,19,2
Kamil Grosicki,West Brom,POL,"FW,MF",32,3,0
Kyle Edwards,West Brom,ENG,"MF,FW",22,5,0
David Button,West Brom,ENG,GK,31,1,0
Ahmed Hegazi,West Brom,EGY,DF,29,1,0
Charlie Austin,West Brom,ENG,FW,31,5,0
Sam Field,West Brom,ENG,MF,22,3,0
Rekeem Harper,West Brom,ENG,MF,20,2,0
Aaron Ramsdale,Sheffield United,ENG,GK,22,38,0
George Baldock,Sheffield United,ENG,DF,27,32,0
Chris Basham,Sheffield United,ENG,"DF,MF",32,31,0
Enda Stevens,Sheffield United,IRL,DF,30,30,0
John Egan,Sheffield United,IRL,DF,27,31,0
John Fleck,Sheffield United,SCO,MF,28,31,0
David McGoldrick,Sheffield United,IRL,"FW,MF",32,35,8
Oliver Norwood,Sheffield United,NIR,MF,29,32,0
Ethan Ampadu,Sheffield United,WAL,"DF,MF",19,25,0
John Lundstram,Sheffield United,ENG,MF,26,28,0
Ben Osborn,Sheffield United,ENG,"MF,DF",25,24,1
Oliver Burke,Sheffield United,SCO,FW,23,25,1
Sander Berge,Sheffield United,NOR,MF,22,15,1
Oliver McBurnie,Sheffield United,SCO,FW,24,23,1
Rhian Brewster,Sheffield United,ENG,FW,20,27,0
Jayden Bogle,Sheffield United,ENG,DF,20,16,2
Kean Bryan,Sheffield United,ENG,DF,23,13,1
Jack Robinson,Sheffield United,ENG,DF,26,11,0
Billy Sharp,Sheffield United,ENG,FW,34,16,3
Max Lowe,Sheffield United,ENG,DF,23,8,0
Phil Jagielka,Sheffield United,ENG,DF,37,10,0
Daniel Jebbison,Sheffield United,ENG,FW,17,4,1
Lys Mousset,Sheffield United,FRA,"FW,MF",24,11,0
Jack O'Connell,Sheffield United,ENG,DF,26,2,0
Iliman Ndiaye,Sheffield United,FRA,MF,21,1,0
Antwoine Hackford,Sheffield United,ENG,"DF,FW",16,1,0
Femi Seriki,Sheffield United,ENG,DF,17,1,0
